Player,Team,Age,Position,G,GS,Completions,Attempts,Yards,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
Jared Goff,LAR,25,QB,16,16,394,626,4638,4825,7.7,2388,6.1,3.8,2250,5.7
Jameis Winston,TAM,25,QB,16,16,380,626,5109,6486,10.4,3249,8.6,5.2,1860,4.9
Matt Ryan,ATL,34,QB,15,15,408,616,4466,5009,8.1,2816,6.9,4.6,1650,4
Tom Brady,NWE,42,QB,16,16,373,613,4057,4638,7.6,2233,6,3.6,1824,4.9
Carson Wentz,PHI,27,QB,16,16,388,607,4039,4878,8,2235,5.8,3.7,1804,4.6
Dak Prescott,DAL,26,QB,16,16,388,596,4902,5539,9.3,2984,7.7,5,1918,4.9
Philip Rivers,LAC,38,QB,16,16,390,591,4615,5025,8.5,2430,6.2,4.1,2185,5.6
Aaron Rodgers,GNB,36,QB,16,16,353,569,4002,5005,8.8,1993,5.6,3.5,2009,5.7
Kyler Murray,ARI,22,QB,16,16,349,542,3722,3987,7.4,1870,5.4,3.5,1852,5.3
Baker Mayfield,CLE,24,QB,16,16,317,534,3827,4516,8.5,2007,6.3,3.8,1820,5.7
Andy Dalton,CIN,32,QB,13,13,314,528,3494,3991,7.6,1843,5.9,3.5,1651,5.3
Mitchell Trubisky,CHI,25,QB,15,15,326,516,3138,4108,8,1729,5.3,3.4,1409,4.3
Russell Wilson,SEA,31,QB,16,16,341,516,4110,4836,9.4,2402,7,4.7,1708,5
Derek Carr,OAK,28,QB,16,16,361,513,4054,3364,6.6,1932,5.4,3.8,2122,5.9
Ryan Fitzpatrick,MIA,37,QB,15,13,311,502,3529,4467,8.9,2264,7.3,4.5,1265,4.1
Deshaun Watson,HOU,24,QB,15,15,333,495,3852,4396,8.9,2166,6.5,4.4,1686,5.1
Kyle Allen,CAR,23,QB,13,12,303,489,3322,3965,8.1,1649,5.4,3.4,1673,5.5
Patrick Mahomes,KAN,24,QB,14,14,319,484,4031,4273,8.8,2076,6.5,4.3,1955,6.1
Jimmy Garoppolo,SFO,28,QB,16,16,329,476,3978,3106,6.5,1819,5.5,3.8,2159,6.6
Gardner Minshew II,JAX,23,QB,14,12,285,470,3271,3346,7.1,1687,5.9,3.6,1584,5.6
Josh Allen,BUF,23,QB,16,16,271,461,3089,4266,9.3,1758,6.5,3.8,1331,4.9
Daniel Jones,NYG,22,QB,13,12,284,459,3027,3689,8,1619,5.7,3.5,1408,5
Jacoby Brissett,IND,27,QB,15,15,272,447,2942,3521,7.9,1437,5.3,3.2,1505,5.5
Kirk Cousins,MIN,31,QB,15,15,307,444,3603,3395,7.6,1818,5.9,4.1,1785,5.8
Sam Darnold,NYJ,22,QB,13,13,273,441,3024,3614,8.2,1549,5.7,3.5,1475,5.4
Lamar Jackson,BAL,22,QB,15,15,265,401,3127,3545,8.8,1767,6.7,4.4,1360,5.1
Drew Brees,NOR,40,QB,11,11,281,378,2979,2429,6.4,1488,5.3,3.9,1491,5.3
Matthew Stafford,DET,31,QB,8,8,187,291,2499,3097,10.6,1609,8.6,5.5,890,4.8
Ryan Tannehill,TEN,31,QB,12,10,201,286,2742,2715,9.5,1494,7.4,5.2,1248,6.2
Mason Rudolph,PIT,24,QB,10,8,176,283,1765,2286,8.1,836,4.8,3,929,5.3
Joe Flacco,DEN,34,QB,8,8,171,262,1822,1750,6.7,915,5.4,3.5,907,5.3
Case Keenum,WAS,31,QB,10,8,160,247,1707,1700,6.9,907,5.7,3.7,800,5
Dwayne Haskins,WAS,22,QB,9,7,119,203,1365,1751,8.6,750,6.3,3.7,615,5.2
Teddy Bridgewater,NOR,27,QB,9,5,133,196,1384,1208,6.2,632,4.8,3.2,752,5.7
David Blough,DET,24,QB,5,5,94,174,984,1484,8.5,655,7,3.8,329,3.5
Devlin Hodges,PIT,23,QB,8,6,100,160,1063,1168,7.3,482,4.8,3,581,5.8
Marcus Mariota,TEN,26,QB,7,6,95,160,1203,1121,7,606,6.4,3.8,597,6.3
Drew Lock,DEN,23,QB,5,5,100,156,1020,1053,6.8,467,4.7,3,553,5.5
Eli Manning,NYG,38,QB,4,4,91,147,1042,1199,8.2,625,6.9,4.3,417,4.6
Nick Foles,JAX,30,QB,4,4,77,117,736,990,8.5,382,5,3.3,354,4.6
Josh Rosen,MIA,22,QB,6,3,58,109,567,901,8.3,250,4.3,2.3,317,5.5
Jeff Driskel,DET,26,QB,3,3,62,105,685,861,8.2,405,6.5,3.9,280,4.5
Matt Moore,KAN,35,QB,6,2,59,91,659,635,7,377,6.4,4.1,282,4.8
Cam Newton,CAR,30,QB,2,2,50,89,572,793,8.9,368,7.4,4.1,204,4.1
Ryan Finley,CIN,25,QB,3,3,41,87,474,721,8.3,271,6.6,3.1,203,5
Brandon Allen,DEN,27,QB,3,3,39,84,515,646,7.7,281,7.2,3.3,234,6
Luke Falk,NYJ,25,QB,3,2,47,73,416,397,5.4,152,3.2,2.1,264,5.6
Matt Schaub,ATL,38,QB,6,1,50,67,580,488,7.3,314,6.3,4.7,266,5.3
Brian Hoyer,IND,34,QB,4,1,35,65,372,559,8.6,215,6.1,3.3,157,4.5
Chase Daniel,CHI,33,QB,3,1,45,64,435,425,6.6,300,6.7,4.7,135,3
Ben Roethlisberger,PIT,37,QB,2,2,35,62,351,576,9.3,158,4.5,2.5,193,5.5
Will Grier,CAR,24,QB,2,2,28,52,228,491,9.4,49,1.8,0.9,179,6.4
Matt Barkley,BUF,29,QB,2,0,27,51,359,403,7.9,203,7.5,4,156,5.8
Robert Griffin III,BAL,29,QB,7,1,23,38,225,282,7.4,141,6.1,3.7,84,3.7
A.J. McCarron,HOU,29,QB,2,1,21,37,225,313,8.5,95,4.5,2.6,130,6.2
Colt McCoy,WAS,33,QB,1,1,18,27,122,177,6.6,88,4.9,3.3,34,1.9
Sean Mannion,MIN,27,QB,3,1,12,21,126,132,6.3,60,5,2.9,66,5.5
Brett Hundley,ARI,26,QB,3,0,5,11,49,114,10.4,15,3,1.4,34,6.8
Mike Glennon,OAK,30,QB,2,0,6,10,56,112,11.2,38,6.3,3.8,18,
