player,team,age,position,games,games_started,targets,receptions,Catch%,yards,Y/R,td,1D,Lng,Y/Tgt,R/G,Y/G,fumbles,YBC,YBC/R,YAC,YAC/R,Broken Tackles,Rec/BR,Drops,Drop%
Michael Thomas,NOR,26,WR,16,15,185,149,0.805,1725,11.6,9,91,49,9.3,9.3,107.8,1,1142,7.7,583,3.9,5,29.8,6,3.2
Julio Jones,ATL,30,WR,15,15,157,99,0.631,1394,14.1,6,77,54,8.9,6.6,92.9,1,1030,10.4,364,3.7,7,14.1,4,2.5
Allen Robinson,CHI,26,WR,16,15,154,98,0.636,1147,11.7,7,63,49,7.4,6.1,71.7,0,875,8.9,272,2.8,5,19.6,7,4.5
Julian Edelman,NWE,33,WR,16,13,153,100,0.654,1117,11.2,6,54,44,7.3,6.3,69.8,3,797,8,320,3.2,4,25,13,8.5
DeAndre Hopkins,HOU,27,WR,15,15,150,104,0.693,1165,11.2,7,68,43,7.8,6.9,77.7,0,778,7.5,387,3.7,9,11.6,4,2.7
Keenan Allen,LAC,27,WR,16,16,149,104,0.698,1199,11.5,6,63,45,8,6.5,74.9,0,825,7.9,374,3.6,4,26,7,4.7
Tyler Boyd,CIN,25,WR,16,15,148,90,0.608,1046,11.6,5,51,47,7.1,5.6,65.4,2,623,6.9,423,4.7,3,30,5,3.4
Christian McCaffrey,CAR,23,RB,16,16,142,116,0.817,1005,8.7,4,58,28,7.1,7.3,62.8,1,-14,-0.1,1019,8.8,14,8.3,7,4.9
Robert Woods,LAR,27,WR,15,15,139,90,0.647,1134,12.6,2,54,48,8.2,6,75.6,0,558,6.2,576,6.4,3,30,4,2.9
Jarvis Landry,CLE,27,WR,16,16,138,83,0.601,1174,14.1,6,55,65,8.5,5.2,73.4,0,738,8.9,436,5.3,5,16.6,5,3.6
Travis Kelce,KAN,30,TE,16,16,136,97,0.713,1229,12.7,5,65,47,9,6.1,76.8,1,819,8.4,410,4.2,6,16.2,8,5.9
Zach Ertz,PHI,29,TE,15,15,135,88,0.652,916,10.4,6,50,30,6.8,5.9,61.1,1,661,7.5,255,2.9,5,17.6,5,3.7
D.J. Moore,CAR,22,WR,15,15,135,87,0.644,1175,13.5,4,63,52,8.7,5.8,78.3,2,791,9.1,384,4.4,6,14.5,4,3
Cooper Kupp,LAR,26,WR,16,14,134,94,0.701,1161,12.4,10,51,66,8.7,5.9,72.6,3,623,6.6,538,5.7,9,10.4,3,2.2
Odell Beckham Jr.,CLE,27,WR,16,15,133,74,0.556,1035,14,4,44,89,7.8,4.6,64.7,1,709,9.6,326,4.4,2,37,7,5.3
DeVante Parker,MIA,26,WR,16,14,128,72,0.563,1202,16.7,9,58,51,9.4,4.5,75.1,0,939,13,263,3.7,2,36,6,4.7
Davante Adams,GNB,27,WR,12,12,127,83,0.654,997,12,5,54,58,7.9,6.9,83.1,2,609,7.3,388,4.7,3,27.7,7,5.5
Courtland Sutton,DEN,24,WR,16,14,124,72,0.581,1112,15.4,6,50,70,9,4.5,69.5,2,760,10.6,352,4.9,12,6,5,4
Jamison Crowder,NYJ,26,WR,16,12,122,78,0.639,833,10.7,6,41,41,6.8,4.9,52.1,0,475,6.1,358,4.6,4,19.5,8,6.6
Chris Godwin,TAM,23,WR,14,14,121,86,0.711,1333,15.5,9,63,71,11,6.1,95.2,0,756,8.8,577,6.7,8,10.8,1,0.8
Amari Cooper,DAL,25,WR,16,16,119,79,0.664,1189,15.1,8,54,53,10,4.9,74.3,0,911,11.5,278,3.5,4,19.8,5,4.2
DJ Chark,JAX,23,WR,15,14,118,73,0.619,1008,13.8,8,42,69,8.5,4.9,67.2,0,679,9.3,329,4.5,5,14.6,4,3.4
Mike Evans,TAM,26,WR,13,13,118,67,0.568,1157,17.3,8,54,67,9.8,5.2,89,0,901,13.4,256,3.8,3,22.3,7,5.9
Darren Waller,OAK,27,TE,16,16,117,90,0.769,1145,12.7,3,53,75,9.8,5.6,71.6,1,575,6.4,570,6.3,8,11.3,5,4.3
Kenny Golladay,DET,26,WR,16,16,116,65,0.56,1190,18.3,11,52,75,10.3,4.1,74.4,1,886,13.6,304,4.7,1,65,6,5.2
John Brown,BUF,29,WR,15,15,115,72,0.626,1060,14.7,6,53,53,9.2,4.8,70.7,0,850,11.8,210,2.9,4,18,5,4.3
Michael Gallup,DAL,23,WR,14,12,113,66,0.584,1107,16.8,6,50,62,9.8,4.7,79.1,0,774,11.7,333,5,7,9.4,11,9.7
Tyler Lockett,SEA,27,WR,16,16,110,82,0.745,1057,12.9,8,53,44,9.6,5.1,66.1,1,749,9.1,308,3.8,0,,2,1.8
Larry Fitzgerald,ARI,36,WR,16,16,109,75,0.688,804,10.7,4,40,54,7.4,4.7,50.3,1,461,6.1,343,4.6,0,,0,0
Austin Ekeler,LAC,24,rb,16,8,108,92,0.852,993,10.8,8,42,84,9.2,5.8,62.1,3,53,0.6,940,10.2,15,6.1,1,0.9
Christian Kirk,ARI,23,WR,13,13,108,68,0.63,709,10.4,3,31,69,6.6,5.2,54.5,0,423,6.2,286,4.2,1,68,4,3.7
George Kittle,SFO,26,TE,14,14,107,85,0.794,1053,12.4,5,53,61,9.8,6.1,75.2,1,451,5.3,602,7.1,8,10.6,2,1.9
Cole Beasley,BUF,30,WR,15,10,106,67,0.632,778,11.6,6,37,51,7.3,4.5,51.9,0,448,6.7,330,4.9,4,16.8,6,5.7
Curtis Samuel,CAR,23,WR,16,15,105,54,0.514,627,11.6,6,36,44,6,3.4,39.2,0,474,8.8,153,2.8,3,18,7,6.7
Tarik Cohen,CHI,24,RB,16,11,104,79,0.76,456,5.8,3,18,31,4.4,4.9,28.5,3,27,0.3,429,5.4,5,15.8,9,8.7
Dede Westbrook,JAX,26,WR,15,11,101,66,0.653,660,10,3,31,39,6.5,4.4,44,1,343,5.2,317,4.8,3,22,3,3
D.K. Metcalf,SEA,22,WR,16,15,100,58,0.58,900,15.5,7,39,54,9,3.6,56.3,3,627,10.8,273,4.7,4,14.5,7,7
Leonard Fournette,JAX,24,RB,15,15,100,76,0.76,522,6.9,0,23,27,5.2,5.1,34.8,1,-36,-0.5,558,7.3,8,9.5,6,6
Mark Andrews,BAL,23,,15,4,98,64,0.653,852,13.3,10,44,51,8.7,4.3,56.8,2,561,8.8,291,4.5,3,21.3,7,7.1
Emmanuel Sanders,2TM,32,,17,16,97,66,0.68,869,13.2,5,41,75,9,3.9,51.1,0,632,9.6,237,3.6,2,33,2,2.1
Danny Amendola,DET,34,WR,15,10,97,62,0.639,678,10.9,1,36,47,7,4.1,45.2,0,471,7.6,207,3.3,3,20.7,2,2.1
Alvin Kamara,NOR,24,RB,14,9,97,81,0.835,533,6.6,1,28,41,5.5,5.8,38.1,4,-24,-0.3,557,6.9,10,8.1,5,5.2
Austin Hooper,ATL,25,TE,13,10,97,75,0.773,787,10.5,6,41,35,8.1,5.8,60.5,0,452,6,335,4.5,5,15,1,1
Robby Anderson,NYJ,26,WR,16,15,96,52,0.542,779,15,5,35,92,8.1,3.3,48.7,1,586,11.3,193,3.7,1,52,4,4.2
James White,NWE,27,,15,1,95,72,0.758,645,9,5,31,59,6.8,4.8,43,1,122,1.7,523,7.3,3,24,2,2.1
Stefon Diggs,MIN,26,WR,15,15,94,63,0.67,1130,17.9,6,41,66,12,4.2,75.3,4,828,13.1,302,4.8,2,31.5,6,6.4
Terry McLaurin,WAS,24,WR,14,14,93,58,0.624,919,15.8,7,43,75,9.9,4.1,65.6,0,702,12.1,217,3.7,4,14.5,4,4.3
Calvin Ridley,ATL,25,WR,13,10,93,63,0.677,866,13.7,7,47,36,9.3,4.8,66.6,0,728,11.6,138,2.2,2,31.5,3,3.2
Diontae Johnson,PIT,23,WR,16,12,92,59,0.641,680,11.5,5,31,45,7.4,3.7,42.5,5,375,6.4,305,5.2,9,6.6,6,6.5
Marvin Jones,DET,29,WR,13,11,91,62,0.681,779,12.6,9,41,47,8.6,4.8,59.9,0,673,10.9,106,1.7,2,31,2,2.2
Chris Conley,JAX,27,WR,16,14,90,47,0.522,775,16.5,5,36,70,8.6,2.9,48.4,0,523,11.1,252,5.4,5,9.4,7,7.8
Mike Williams,LAC,25,WR,15,15,90,49,0.544,1001,20.4,2,41,56,11.1,3.3,66.7,0,814,16.6,187,3.8,3,16.3,4,4.4
Sammy Watkins,KAN,26,WR,14,13,90,52,0.578,673,12.9,3,30,68,7.5,3.7,48.1,2,376,7.2,297,5.7,0,,4,4.4
Mike Gesicki,MIA,24,te,16,5,89,51,0.573,570,11.2,5,25,34,6.4,3.2,35.6,1,408,8,162,3.2,0,,0,0
Tyler Higbee,LAR,26,TE,15,15,89,69,0.775,734,10.6,3,36,33,8.2,4.6,48.9,0,338,4.9,396,5.7,5,13.8,2,2.2
Mohamed Sanu,2TM,30,,15,12,89,59,0.663,520,8.8,2,30,28,5.8,3.9,34.7,0,326,5.5,194,3.3,2,29.5,6,6.7
Tyreek Hill,KAN,25,WR,12,12,89,58,0.652,860,14.8,7,39,57,9.7,4.8,71.7,0,585,10.1,275,4.7,4,14.5,3,3.4
Dallas Goedert,PHI,24,TE,15,9,87,58,0.667,607,10.5,5,33,28,7,3.9,40.5,2,276,4.8,331,5.7,5,11.6,5,5.7
Anthony Miller,CHI,25,WR,16,7,85,52,0.612,656,12.6,2,34,35,7.7,3.3,41,1,439,8.4,217,4.2,4,13,3,3.5
Golden Tate,NYG,31,WR,11,10,85,49,0.576,676,13.8,6,30,64,8,4.5,61.5,1,392,8,284,5.8,3,16.3,3,3.5
A.J. Brown,TEN,22,WR,16,11,84,52,0.619,1051,20.2,8,39,91,12.5,3.3,65.7,1,586,11.3,465,8.9,8,6.5,2,2.4
Darius Slayton,NYG,22,WR,14,9,84,48,0.571,740,15.4,8,32,55,8.8,3.4,52.9,0,551,11.5,189,3.9,5,9.6,2,2.4
Jason Witten,DAL,37,TE,16,16,83,63,0.759,529,8.4,4,27,33,6.4,3.9,33.1,1,367,5.8,162,2.6,0,,6,7.2
Randall Cobb,DAL,29,wr,15,6,83,55,0.663,828,15.1,3,41,59,10,3.7,55.2,2,499,9.1,329,6,5,11,8,9.6
Sterling Shepard,NYG,26,WR,10,10,83,57,0.687,576,10.1,3,29,36,6.9,5.7,57.6,0,397,7,179,3.1,4,14.3,1,1.2
Greg Olsen,CAR,34,TE,14,14,82,52,0.634,597,11.5,2,34,41,7.3,3.7,42.6,0,396,7.6,201,3.9,2,26,3,3.7
Deebo Samuel,SFO,23,WR,15,11,81,57,0.704,802,14.1,3,32,42,9.9,3.8,53.5,2,329,5.8,473,8.3,7,8.1,9,11.1
James Washington,PIT,23,WR,15,10,80,44,0.55,735,16.7,3,31,79,9.2,2.9,49,1,550,12.5,185,4.2,1,44,5,6.3
Auden Tate,CIN,22,WR,12,10,80,40,0.5,575,14.4,1,29,33,7.2,3.3,47.9,1,455,11.4,120,3,3,13.3,3,3.8
Alex Erickson,CIN,27,wr,16,6,78,43,0.551,529,12.3,0,26,52,6.8,2.7,33.1,4,265,6.2,264,6.1,3,14.3,2,2.6
Le'Veon Bell,NYJ,27,RB,15,15,78,66,0.846,461,7,1,20,23,5.9,4.4,30.7,1,21,0.3,440,6.7,12,5.5,2,2.6
Hunter Henry,LAC,25,TE,12,12,76,55,0.724,652,11.9,5,36,30,8.6,4.6,54.3,1,488,8.9,164,3,0,,4,5.3
Russell Gage,ATL,23,,16,4,74,49,0.662,446,9.1,1,25,19,6,3.1,27.9,1,295,6,151,3.1,0,,0,0
Saquon Barkley,NYG,22,RB,13,13,73,52,0.712,438,8.4,2,14,65,6,4,33.7,1,0,0,438,8.4,8,6.5,4,5.5
Alshon Jeffery,PHI,29,WR,10,10,73,43,0.589,490,11.4,4,36,38,6.7,4.3,49,0,379,8.8,111,2.6,0,,3,4.1
Jack Doyle,IND,29,TE,16,16,72,43,0.597,448,10.4,4,29,23,6.2,2.7,28,1,232,5.4,216,5,0,,3,4.2
Zach Pascal,IND,25,WR,16,13,72,41,0.569,607,14.8,5,29,37,8.4,2.6,37.9,0,372,9.1,235,5.7,3,13.7,3,4.2
Brandin Cooks,LAR,26,WR,14,14,72,42,0.583,583,13.9,2,32,57,8.1,3,41.6,0,414,9.9,169,4,0,,4,5.6
Ezekiel Elliott,DAL,24,RB,16,16,71,54,0.761,420,7.8,2,21,27,5.9,3.4,26.3,3,25,0.5,395,7.3,6,9,4,5.6
Marquise Brown,BAL,22,wr,14,11,71,46,0.648,584,12.7,7,24,83,8.2,3.3,41.7,0,358,7.8,226,4.9,3,15.3,2,2.8
Hunter Renfrow,OAK,24,,13,4,71,49,0.69,605,12.3,4,30,65,8.5,3.8,46.5,1,304,6.2,301,6.1,5,9.8,4,5.6
Will Fuller,HOU,25,WR,11,11,71,49,0.69,670,13.7,3,26,54,9.4,4.5,60.9,1,451,9.2,219,4.5,2,24.5,5,7
Devonta Freeman,ATL,27,RB,14,14,70,59,0.843,410,6.9,4,17,28,5.9,4.2,29.3,3,66,1.1,344,5.8,0,,1,1.4
JuJu Smith-Schuster,PIT,23,WR,12,12,70,42,0.6,552,13.1,3,23,76,7.9,3.5,46,1,323,7.7,229,5.5,0,,5,7.1
Corey Davis,TEN,24,TE,15,11,69,43,0.623,601,14,2,33,38,8.7,2.9,40.1,1,360,8.4,241,5.6,8,5.4,4,5.8
Breshad Perriman,TAM,26,,14,4,69,36,0.522,645,17.9,6,29,44,9.3,2.6,46.1,0,518,14.4,127,3.5,1,36,0,0
Nelson Agholor,PHI,26,WR,11,10,69,39,0.565,363,9.3,3,17,43,5.3,3.5,33,2,237,6.1,126,3.2,4,9.8,4,5.8
Aaron Jones,GNB,25,RB,16,16,68,49,0.721,474,9.7,3,18,67,7,3.1,29.6,3,41,0.8,433,8.8,10,4.9,2,2.9
Kenyan Drake,2TM,25,,14,10,68,50,0.735,345,6.9,0,15,26,5.1,3.6,24.6,2,-79,-1.6,424,8.5,2,25,3,4.4
T.Y. Hilton,IND,30,WR,10,10,68,45,0.662,501,11.1,5,24,35,7.4,4.5,50.1,0,288,6.4,213,4.7,2,22.5,3,4.4
Evan Engram,NYG,25,TE,8,6,68,44,0.647,467,10.6,3,23,75,6.9,5.5,58.4,0,215,4.9,252,5.7,2,22,3,4.4
Noah Fant,DEN,22,TE,16,11,66,40,0.606,562,14.1,3,23,75,8.5,2.5,35.1,1,232,5.8,330,8.3,3,13.3,5,7.6
Jared Cook,NOR,32,te,14,7,65,43,0.662,705,16.4,9,32,61,10.8,3.1,50.4,0,451,10.5,254,5.9,3,14.3,4,6.2
Tyrell Williams,OAK,27,WR,14,12,64,42,0.656,651,15.5,6,33,46,10.2,3,46.5,0,461,11,190,4.5,1,42,5,7.8
Miles Sanders,PHI,22,RB,16,11,63,50,0.794,509,10.2,3,19,45,8.1,3.1,31.8,2,89,1.8,420,8.4,4,12.5,3,4.8
Tyler Eifert,CIN,29,,16,4,63,43,0.683,436,10.1,3,24,27,6.9,2.7,27.3,0,312,7.3,124,2.9,1,43,5,7.9
